AÑO;MES;CENTRO COSTO;AREA;NOMBRE DEL CARGO;PLAZAS AUTORIZADAS INDEFINIDAS
"2025";"10. OCTUBRE";"42021";"002 TIENDA KOAJ 2";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42022";"003 TIENDA KOAJ 4";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42122";"009 TIENDA KOAJ GALERIAS";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42059";"026 TIENDA KOAJ SAN MARTIN P2";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"41029";"031 TIENDA KOAJ CAFAM FLORESTA";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42126";"036 TIENDA KOAJ UNICENTRO BOGOTA";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42135";"037 TIENDA KOAJ CALLE 18 MONTEVIDEO";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42131";"054 TIENDA KOAJ CALIMA BOGOTA";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42138";"056 TIENDA KOAJ DIVER PLAZA";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42146";"060 TIENDA KOAJ CHAPINERO";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42162";"068  TIENDA KOAJ HAYUELOS";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42170";"070 TIENDA KOAJ TINTAL";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42167";"073 TIENDA URBANA MICENTRO - EL PORVEN";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42194";"079 TIENDA KOAJ PLAZA DE LAS AMERICAS 1";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42198";"083 TIENDA KOAJ CENTRO BOGOTA";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42216";"086 TIENDA KOAJ KENNEDY 1";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42219";"087 TIENDA KOAJ SANTAFE 2";"COADMINISTRADOR(A) DE TIENDA";1
"2025";"10. OCTUBRE";"42224";"090 TIENDA KOAJ KENNEDY 2";"COADMINISTRADOR(A) DE TIENDA";1
