NOM CCOSTO;CONTRATO;NOM OFICIO;ZONA;LATITUD;LONGITUD;RANGOS DE PERMANENCIA;MOTIVO;AÑO;MES;ACTIVOS;RETIROS;TASA_ROTACION_ACT_MES_ANT;TASA_ROTACION_MENSUAL_ACUM;COLOR_AUS_MED;CONT_AUS_LEG;CONT_AUS_ADM;CONT_TOTAL;DIAS_ADMINISTRATIVO;DIAS_AUSENCIA;DIAS_LEGAL;DIAS_MEDICO;HORAS_AUSENTISMO;HORAS;ACCIDENTES;TASA_DE_ACCIDENTALIDAD;META_ROT_GRAL;META_AUSENTISMO;META_AUSENTISMO_LEGAL;META_AUSENTISMO_MEDICO;META_AUSENTISMO_ADMINITRATIVO
"105 TIENDA KOAJ SALITRE 2";"TERMINO INDEFINIDO C OPERATIVO";"STAFF COMERCIAL 36 H";"null";0;0;"2-4 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;1;0;0;"#37A794";0;0;0;0;0;0;0;0;0;0;0;0,034;0,0454;0,0054;0,029;0,011
"054 TIENDA KOAJ CALIMA BOGOTA";"TERMINO INDEFINIDO C OPERATIVO";"STAFF COMERCIAL 36 H";"ZONA CENTRO";4,619759992;-74,08573728;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;0;0;0;"#37A794";0;0;0;0;0;0;0;0;0;0;0;0,034;0,0454;0,0054;0,029;0,011
"068  TIENDA KOAJ HAYUELOS";"TERMINO INDEFINIDO COMERCIAL";"COADMINISTRADOR(A) DE TIENDA";"ZONA AMERICAS";4,663782702;-74,13085445;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;191,6666665;0;0;0,034;0,0454;0,0054;0,029;0,011
"539 TIENDA KOAJ CALLE 12 CENTRO";"TERMINO INDEFINIDO COMERCIAL";"COADMINISTRADOR(A) DE TIENDA";"ZONA CENTRO";4,600434293;-74,07391017;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;1;1;0,95833333375;0,95833333375;0;0;7,66666667;199,33333317;0;0;0,034;0,0454;0,0054;0,029;0,011
"003 TIENDA KOAJ 4";"TERMINO INDEFINIDO COMERCIAL";"COADMINISTRADOR(A) DE TIENDA";"TIENDA PROMOCIONAL";4,629225347;-74,11587113;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;191,6666665;0;0;0,034;0,0454;0,0054;0,029;0,011
"187 TIENDA KOAJ LAS FERIAS";"TERMINO INDEFINIDO COMERCIAL";"COADMINISTRADOR(A) DE TIENDA";"ZONA NOROCCIDENTE";4,684006576;-74,09123084;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;183,99999984;0;0;0,034;0,0454;0,0054;0,029;0,011
"081 TIENDA KOAJ K-60";"TERMINO INDEFINIDO COMERCIAL";"COADMINISTRADOR(A) DE TIENDA";"ZONA AMERICAS";4,629758678;-7,411438648;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;183,99999984;0;0;0,034;0,0454;0,0054;0,029;0,011
"159 TIENDA KOAJ RESTREPO";"TERMINO INDEFINIDO C OPERATIVO";"STAFF COMERCIAL 48 H";"ZONA SUR ORIENTE";4,585831073;-74,10153686;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;199,33333316;0;0;0,034;0,0454;0,0054;0,029;0,011
"037 TIENDA KOAJ CALLE 18 MONTEVIDEO";"TERMINO INDEFINIDO C OPERATIVO";"STAFF COMERCIAL 48 H";"ZONA AMERICAS";4,645258074;-74,12037501;"0-2 MESES";"";2025;"01. ENERO";2;0;0;0;"#EE4848";0;2;4;4,79166666625;7,66666666375;0;2,8749999975;61,33333331;444,66666631000004;0;0;0,034;0,0454;0,0054;0,029;0,011
"009 TIENDA KOAJ GALERIAS";"TERMINO INDEFINIDO C OPERATIVO";"CAJERO(A) 36 H";"ZONA CENTRO";4,642158787;-74,07463078;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;144;0;0;0,034;0,0454;0,0054;0,029;0,011
"002 TIENDA KOAJ 2";"TERMINO INDEFINIDO C OPERATIVO";"CAJERO(A) 36 H";"TIENDA PROMOCIONAL";4,634489733;-74,11394756;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#37A794";0;0;0;0;0;0;0;0;150;0;0;0,034;0,0454;0,0054;0,029;0,011
"189 TIENDA KOAJ MONTEVIDEO";"TERMINO INDEFINIDO C OPERATIVO";"CAJERO(A) 48 H";"TIENDA PROMOCIONAL";4,647964931;-74,12019713;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#EE4848";0;0;2;0;6,7083333275;0;6,7083333275;53,66666662;206,99999982;0;0;0,034;0,0454;0,0054;0,029;0,011
"041 TIENDA KOAJ CRA 62 N";"TERMINO INDEFINIDO C OPERATIVO";"STAFF COMERCIAL 48 H";"ZONA AMERICAS";4,629502674;-74,11680614;"0-2 MESES";"";2025;"01. ENERO";5;0;0;0;"#37A794";0;1;1;1,9166666675;1,9166666675;0;0;15,33333334;942,9999992;0;0;0,034;0,0454;0,0054;0,029;0,011
"538 TIENDA KOAJ LO NUESTRO";"TERMINO INDEFINIDO C OPERATIVO";"CAJERO(A) 36 H";"ZONA CENTRO";4,684283094;-74,11597863;"0-2 MESES";"";2025;"01. ENERO";1;0;0;0;"#EE4848";0;0;1;0;1,5;0;1,5;12;144;0;0;0,034;0,0454;0,0054;0,029;0,011
"178 TIENDA KOAJ PLAZA DE LAS AMERICAS 2";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"ZONA SUR";4,618359257;-74,13530735;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;0;0;0;"#37A794";0;0;0;0;0;0;0;0;0;0;0;0,034;0,0454;0,0054;0,029;0,011
"541 TIENDA KOAJ FACTORY";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"TIENDA PROMOCIONAL";4,631048216;-74,11728235;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;1;0;0;"#37A794";0;0;0;0;0;0;0;0;66;0;0;0,034;0,0454;0,0054;0,029;0,011
"179 TIENDA KOAJ BOSA CENTRO";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"ZONA SUR";4,606809444;-74,18659553;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;1;0;0;"#37A794";0;0;0;0;0;0;0;0;0;0;0;0,034;0,0454;0,0054;0,029;0,011
"531 TIENDA KOAJ TUNAL II";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"ZONA SUR ORIENTE";4,57855196;-74,12962596;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;1;0;0;"#37A794";0;0;0;0;0;0;0;0;0;0;0;0,034;0,0454;0,0054;0,029;0,011
"100 TIENDA KOAJ CARRERA DECIMA";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"TIENDA PROMOCIONAL";4,602670186;-74,07673473;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;2;0;0;"#37A794";0;0;0;0;0;0;0;0;18;0;0;0,034;0,0454;0,0054;0,029;0,011
"195 TIENDA KOAJ METROPOLIS";"OBRA O LABOR C OPERATIVO TEMPO";"STAFF COMERCIAL 36 H";"ZONA NOROCCIDENTE";4,680550715;-74,08253816;"0-2 MESES";"Renuncia voluntaria del colaborador";2025;"01. ENERO";0;1;0;0;"#37A794";0;0;0;0;0;0;0;0;18;0;0;0,034;0,0454;0,0054;0,029;0,011
