almacen,nom_oficio,ccosto,gestor,tipo_tienda,zona,logitud,latitud,mes,año,total_activos,total_retiros,total_ausentismo,total_accidentes,fecha
002 TIENDA KOAJ 2,ADMINISTRADOR(A) DE TIENDA,42021.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1139475630901,4.6344897330793,ENERO,2025,1,0,0,0,1/2025
002 TIENDA KOAJ 2,CAJERO(A) 36 H,42021.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1139475630901,4.6344897330793,ENERO,2025,2,0,0,0,1/2025
002 TIENDA KOAJ 2,COADMINISTRADOR(A) DE TIENDA,42021.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1139475630901,4.6344897330793,ENERO,2025,1,0,0,0,1/2025
002 TIENDA KOAJ 2,STAFF COMERCIAL 36 H,42021.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1139475630901,4.6344897330793,ENERO,2025,7,0,0,0,1/2025
002 TIENDA KOAJ 2,STAFF COMERCIAL 48 H,42021.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1139475630901,4.6344897330793,ENERO,2025,2,0,0,0,1/2025
003 TIENDA KOAJ 4,CAJERO(A) 36 H,42022.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1158711342548,4.62922534747273,ENERO,2025,1,0,0,0,1/2025
003 TIENDA KOAJ 4,CAJERO(A) 48 H,42022.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1158711342548,4.62922534747273,ENERO,2025,1,0,0,0,1/2025
003 TIENDA KOAJ 4,COADMINISTRADOR(A) DE TIENDA,42022.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1158711342548,4.62922534747273,ENERO,2025,1,0,0,0,1/2025
003 TIENDA KOAJ 4,STAFF COMERCIAL 36 H,42022.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1158711342548,4.62922534747273,ENERO,2025,6,0,0,0,1/2025
003 TIENDA KOAJ 4,STAFF COMERCIAL 48 H,42022.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.1158711342548,4.62922534747273,ENERO,2025,3,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,ADMINISTRADOR(A) DE TIENDA,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,1,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,CAJERO(A) 36 H,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,1,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,CAJERO(A) 48 H,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,1,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,COADMINISTRADOR(A) DE TIENDA,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,1,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,STAFF COMERCIAL 36 H,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,3,0,0,0,1/2025
009 TIENDA KOAJ GALERIAS,STAFF COMERCIAL 48 H,42122.0,ANDRES SEGURA,Estándar,ZONA CENTRO,-74.0746307765837,4.6421587872524,ENERO,2025,2,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,ADMINISTRADOR(A) DE TIENDA,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,1,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,CAJERO(A) 36 H,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,4,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,CAJERO(A) 48 H,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,2,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,COADMINISTRADOR(A) DE TIENDA,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,1,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,PARTNER COMERCIAL,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,1,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,STAFF COMERCIAL 36 H,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,20,0,0,0,1/2025
012 TIENDA KOAJ SUBA IMPERIAL,STAFF COMERCIAL 48 H,42118.0,ANGIE VEGA,Pareto,ZONA NORTE,-74.0954028765829,4.74906071525707,ENERO,2025,8,0,0,0,1/2025
026 TIENDA KOAJ SAN MARTIN P2,ADMINISTRADOR(A) DE TIENDA,42059.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.0679326919259,4.61906525716996,ENERO,2025,1,0,0,0,1/2025
026 TIENDA KOAJ SAN MARTIN P2,CAJERO(A) 48 H,42059.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.0679326919259,4.61906525716996,ENERO,2025,2,0,0,0,1/2025
026 TIENDA KOAJ SAN MARTIN P2,COADMINISTRADOR(A) DE TIENDA,42059.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.0679326919259,4.61906525716996,ENERO,2025,1,0,0,0,1/2025
026 TIENDA KOAJ SAN MARTIN P2,STAFF COMERCIAL 36 H,42059.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.0679326919259,4.61906525716996,ENERO,2025,4,0,0,0,1/2025
026 TIENDA KOAJ SAN MARTIN P2,STAFF COMERCIAL 48 H,42059.0,JORGE TRUJILLO PROMO,Estándar,TIENDA PROMOCIONAL,-74.0679326919259,4.61906525716996,ENERO,2025,2,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,ADMINISTRADOR(A) DE TIENDA,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,1,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,CAJERO(A) 36 H,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,1,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,CAJERO(A) 48 H,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,1,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,COADMINISTRADOR(A) DE TIENDA,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,1,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,STAFF COMERCIAL 36 H,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,3,0,0,0,1/2025
031 TIENDA KOAJ CAFAM FLORESTA,STAFF COMERCIAL 48 H,41029.0,FREDY GAVIRIA,Estándar,ZONA NOROCCIDENTE ,-74.074523390077,4.68687649823262,ENERO,2025,2,0,0,0,1/2025
036 TIENDA KOAJ UNICENTRO BOGOTA,ADMINISTRADOR(A) DE TIENDA,42126.0,ANGIE VEGA,Formadora,ZONA NORTE,-74.0410495342542,4.70289265687802,ENERO,2025,1,0,0,0,1/2025
036 TIENDA KOAJ UNICENTRO BOGOTA,CAJERO(A) 36 H,42126.0,ANGIE VEGA,Formadora,ZONA NORTE,-74.0410495342542,4.70289265687802,ENERO,2025,1,0,0,0,1/2025
036 TIENDA KOAJ UNICENTRO BOGOTA,CAJERO(A) 48 H,42126.0,ANGIE VEGA,Formadora,ZONA NORTE,-74.0410495342542,4.70289265687802,ENERO,2025,1,0,0,0,1/2025
036 TIENDA KOAJ UNICENTRO BOGOTA,COADMINISTRADOR(A) DE TIENDA,42126.0,ANGIE VEGA,Formadora,ZONA NORTE,-74.0410495342542,4.70289265687802,ENERO,2025,1,0,0,0,1/2025
036 TIENDA KOAJ UNICENTRO BOGOTA,STAFF COMERCIAL 36 H,42126.0,ANGIE VEGA,Formadora,ZONA NORTE,-74.0410495342542,4.70289265687802,ENERO,2025,8,0,0,0,1/2025
